Date,Market_value (1000 million),btc_Market_value (1000 million),dominance
2020-01-01,248.48,156.34,0.63
2020-01-02,224.79,153.31,0.68
2020-01-03,232.55,158.8,0.68
2020-01-04,273.37,159.93,0.59
2020-01-05,257.18,161.65,0.63
2020-01-06,245.22,166.41,0.68
2020-01-07,254.5,175.16,0.69
2020-01-08,254.46,176.02,0.69
2020-01-09,309.37,170.22,0.55
2020-01-10,253.64,173.75,0.69
2020-01-11,257.54,175.68,0.68
2020-01-12,258.5,176.36,0.68
2020-01-13,260.81,178.14,0.68
2020-01-14,280.2,187.79,0.67
2020-01-15,309.1,189.63,0.61
2020-01-16,307.96,189.26,0.61
2020-01-17,291.51,192.99,0.66
2020-01-18,365.19,194.54,0.53
2020-01-19,307.43,189.15,0.62
2020-01-20,283.53,187.71,0.66
2020-01-21,309.39,188.43,0.61
2020-01-22,284.21,187.49,0.66
2020-01-23,274.58,181.94,0.66
2020-01-24,274.12,182.19,0.66
2020-01-25,272.88,181.2,0.66
2020-01-26,280.38,185.54,0.66
2020-01-27,290.62,192.31,0.66
2020-01-28,298.36,198.32,0.66
2020-01-29,303.49,202.27,0.67
2020-01-30,358.92,204.41,0.57
2020-01-31,305.85,202.96,0.66
2020-02-01,306.49,202.91,0.66
2020-02-02,310.93,204.04,0.66
2020-02-03,308.35,202.01,0.66
2020-02-04,306,199.52,0.65
2020-02-05,293.77,190.15,0.65
2020-02-06,328.19,211.61,0.64
2020-02-07,330.01,212.21,0.64
2020-02-08,363.28,214.69,0.59
2020-02-09,340.73,218.48,0.64
2020-02-10,334.15,213.17,0.64
2020-02-11,345.63,219.38,0.63
2020-02-12,359.18,224.49,0.63
2020-02-13,356.51,221.6,0.62
2020-02-14,361.76,222.82,0.62
2020-02-15,352.39,217.87,0.62
2020-02-16,338.58,213.84,0.63
2020-02-17,388.18,210.24,0.54
2020-02-18,344.51,215.97,0.63
2020-02-19,342.05,215.04,0.63
2020-02-20,356.47,208.46,0.58
2020-02-21,332.62,209.95,0.63
2020-02-22,332.97,210.39,0.63
2020-02-23,367.8,213.84,0.58
2020-02-24,331.19,209.59,0.63
2020-02-25,318.4,203.47,0.64
2020-02-26,298.19,192.89,0.65
2020-02-27,298.7,191.79,0.64
2020-02-28,317.19,188.19,0.59
2020-02-29,291.98,187.37,0.64
2020-03-01,289.33,185.98,0.64
2020-03-02,299.04,191.53,0.64
2020-03-03,297.67,190.55,0.64
2020-03-04,297.81,190.79,0.64
2020-03-05,306.96,196.8,0.64
2020-03-06,309.29,197.36,0.64
2020-03-07,303.73,193.88,0.64
2020-03-08,279.63,180.41,0.65
2020-03-09,264.19,170.65,0.65
2020-03-10,312.18,172.42,0.55
2020-03-11,281.31,168.73,0.60
2020-03-12,191.34,125.32,0.65
2020-03-13,182.97,118.18,0.65
2020-03-14,179.19,115.31,0.64
2020-03-15,178.95,115.26,0.64
2020-03-16,167.86,108.67,0.65
2020-03-17,177.21,115.29,0.65
2020-03-18,179.04,115.3,0.64
2020-03-19,203.81,131.62,0.65
2020-03-20,214.8,139.25,0.65
2020-03-21,210.32,135.89,0.65
2020-03-22,203.97,131.87,0.65
2020-03-23,212,138.2,0.65
2020-03-24,222.79,146.16,0.66
2020-03-25,222.34,146.17,0.66
2020-03-26,242.65,146.59,0.60
2020-03-27,237.73,142.73,0.60
2020-03-28,210.61,136.46,0.65
2020-03-29,206.31,133.12,0.65
2020-03-30,215.73,140.21,0.65
2020-03-31,234.63,140.63,0.60
2020-04-01,234.94,140.41,0.60
2020-04-02,228.55,148.67,0.65
2020-04-03,229.61,149.05,0.65
2020-04-04,230.13,149.08,0.65
2020-04-05,231.07,149.82,0.65
2020-04-06,266.01,158.41,0.60
2020-04-07,250.5,160.3,0.64
2020-04-08,252.86,160.44,0.63
2020-04-09,251.04,159.06,0.63
2020-04-10,238.53,151.56,0.64
2020-04-11,236.85,150.34,0.63
2020-04-12,238.82,151.59,0.63
2020-04-13,235.25,149.37,0.63
2020-04-14,238.29,151.2,0.63
2020-04-15,252.35,147.82,0.59
2020-04-16,245.16,154.78,0.63
2020-04-17,246.66,155.56,0.63
2020-04-18,252.1,157.96,0.63
2020-04-19,251.09,157.31,0.63
2020-04-20,243.82,153.02,0.63
2020-04-21,260,150.98,0.58
2020-04-22,247.76,155.49,0.63
2020-04-23,258.59,163.24,0.63
2020-04-24,283.53,165.34,0.58
2020-04-25,264.17,166.15,0.63
2020-04-26,267.21,168.18,0.63
2020-04-27,267.91,169.56,0.63
2020-04-28,294.09,170.77,0.58
2020-04-29,297.53,189.94,0.64
2020-04-30,299.28,193.37,0.65
2020-05-01,300.64,194,0.65
2020-05-02,305.13,197.19,0.65
2020-05-03,300.67,195.05,0.65
2020-05-04,324.96,194.72,0.60
2020-05-05,327.38,196.92,0.60
2020-05-06,308.71,203.3,0.66
2020-05-07,345.82,213.17,0.62
2020-05-08,325.68,217.91,0.67
2020-05-09,311.17,206.15,0.66
2020-05-10,290.1,191.9,0.66
2020-05-11,288.82,191.56,0.66
2020-05-12,295.41,195.01,0.66
2020-05-13,304.82,202.32,0.66
2020-05-14,316.61,212.59,0.67
2020-05-15,364.37,208.89,0.57
2020-05-16,311.75,207.93,0.67
2020-05-17,320.5,214.5,0.67
2020-05-18,320.09,212.72,0.66
2020-05-19,323.01,214.41,0.66
2020-05-20,320.05,211.63,0.66
2020-05-21,306.34,201.59,0.66
2020-05-22,310.06,202.8,0.65
2020-05-23,310.11,202.72,0.65
2020-05-24,304.56,198.37,0.65
2020-05-25,301.36,195.38,0.65
2020-05-26,300.96,195.38,0.65
2020-05-27,308.61,201.42,0.65
2020-05-28,317.36,207.74,0.65
2020-05-29,318.08,208.09,0.65
2020-05-30,325.64,211.25,0.65
2020-05-31,324.77,210.23,0.65
2020-06-01,331.87,215.6,0.65
2020-06-02,358.61,213.84,0.60
2020-06-03,383.45,211.92,0.55
2020-06-04,332.81,215.08,0.65
2020-06-05,358.83,213.69,0.60
2020-06-06,358.71,213.28,0.59
2020-06-07,330.31,212.93,0.64
2020-06-08,332.49,214.29,0.64
2020-06-09,389.01,214.83,0.55
2020-06-10,336.75,216.78,0.64
2020-06-11,352.04,209.36,0.59
2020-06-12,323.82,208.51,0.64
2020-06-13,351.08,208.41,0.59
2020-06-14,319.67,206.15,0.64
2020-06-15,345.04,206.34,0.60
2020-06-16,378.97,209.61,0.55
2020-06-17,323.6,208.4,0.64
2020-06-18,348.75,207.16,0.59
2020-06-19,348.08,206.3,0.59
2020-06-20,320.68,205.94,0.64
2020-06-21,322.41,206.61,0.64
2020-06-22,329.91,211.36,0.64
2020-06-23,332.74,212.89,0.64
2020-06-24,349.25,205.66,0.59
2020-06-25,320.26,204.49,0.64
2020-06-26,317.38,202.51,0.64
2020-06-27,338.62,200.27,0.59
2020-06-28,313.45,201.17,0.64
2020-06-29,314.21,201.91,0.64
2020-06-30,209.61,134.77,0.64