Date,Interest
2020-01-01,11
2020-01-02,11
2020-01-03,11
2020-01-04,11
2020-01-05,11
2020-01-06,11
2020-01-07,11
2020-01-08,11
2020-01-09,11
2020-01-10,11
2020-01-11,11
2020-01-12,11
2020-01-13,10
2020-01-14,10
2020-01-15,10
2020-01-16,10
2020-01-17,10
2020-01-18,10
2020-01-19,10
2020-01-20,10
2020-01-21,10
2020-01-22,10
2020-01-23,10
2020-01-24,10
2020-01-25,10
2020-01-26,10
2020-01-27,10
2020-01-28,10
2020-01-29,10
2020-01-30,10
2020-01-31,10
2020-02-01,10
2020-02-02,10
2020-02-03,13
2020-02-04,13
2020-02-05,13
2020-02-06,13
2020-02-07,13
2020-02-08,13
2020-02-09,13
2020-02-10,11
2020-02-11,11
2020-02-12,11
2020-02-13,11
2020-02-14,11
2020-02-15,11
2020-02-16,11
2020-02-17,11
2020-02-18,11
2020-02-19,11
2020-02-20,11
2020-02-21,11
2020-02-22,11
2020-02-23,11
2020-02-24,10
2020-02-25,10
2020-02-26,10
2020-02-27,10
2020-02-28,10
2020-02-29,10
2020-03-01,10
2020-03-02,19
2020-03-03,19
2020-03-04,19
2020-03-05,19
2020-03-06,19
2020-03-07,19
2020-03-08,19
2020-03-09,20
2020-03-10,20
2020-03-11,20
2020-03-12,20
2020-03-13,20
2020-03-14,20
2020-03-15,20
2020-03-16,15
2020-03-17,15
2020-03-18,15
2020-03-19,15
2020-03-20,15
2020-03-21,15
2020-03-22,15
2020-03-23,13
2020-03-24,13
2020-03-25,13
2020-03-26,13
2020-03-27,13
2020-03-28,13
2020-03-29,13
2020-03-30,12
2020-03-31,12
2020-04-01,12
2020-04-02,12
2020-04-03,12
2020-04-04,12
2020-04-05,12
2020-04-06,12
2020-04-07,12
2020-04-08,12
2020-04-09,12
2020-04-10,12
2020-04-11,12
2020-04-12,12
2020-04-13,12
2020-04-14,12
2020-04-15,12
2020-04-16,12
2020-04-17,12
2020-04-18,12
2020-04-19,12
2020-04-20,16
2020-04-21,16
2020-04-22,16
2020-04-23,16
2020-04-24,16
2020-04-25,16
2020-04-26,16
2020-04-27,17
2020-04-28,17
2020-04-29,17
2020-04-30,17
2020-05-01,17
2020-05-02,17
2020-05-03,17
2020-05-04,20
2020-05-05,20
2020-05-06,20
2020-05-07,20
2020-05-08,20
2020-05-09,20
2020-05-10,20
2020-05-11,14
2020-05-12,14
2020-05-13,14
2020-05-14,14
2020-05-15,14
2020-05-16,14
2020-05-17,14
2020-05-18,12
2020-05-19,12
2020-05-20,12
2020-05-21,12
2020-05-22,12
2020-05-23,12
2020-05-24,12
2020-05-25,13
2020-05-26,13
2020-05-27,13
2020-05-28,13
2020-05-29,13
2020-05-30,13
2020-05-31,13
2020-06-01,11
2020-06-02,11
2020-06-03,11
2020-06-04,11
2020-06-05,11
2020-06-06,11
2020-06-07,11
2020-06-08,10
2020-06-09,10
2020-06-10,10
2020-06-11,10
2020-06-12,10
2020-06-13,10
2020-06-14,10
2020-06-15,10
2020-06-16,10
2020-06-17,10
2020-06-18,10
2020-06-19,10
2020-06-20,10
2020-06-21,10
2020-06-22,10
2020-06-23,10
2020-06-24,10
2020-06-25,10
2020-06-26,10
2020-06-27,10
2020-06-28,10
2020-06-29,9
2020-06-30,9