Date,Volume,Volume (in 100 million)
2019-01-01,979039368,9.79
2019-01-02,1097663564,10.98
2019-01-03,889059787,8.89
2019-01-04,923185106,9.23
2019-01-05,640874439,6.41
2019-01-06,1135382157,11.35
2019-01-07,983979089,9.84
2019-01-08,1299810701,13.00
2019-01-09,1300895254,13.01
2019-01-10,1288240535,12.88
2019-01-11,858668929,8.59
2019-01-12,528143513,5.28
2019-01-13,826889890,8.27
2019-01-14,894912891,8.95
2019-01-15,910891876,9.11
2019-01-16,878153114,8.78
2019-01-17,872234719,8.72
2019-01-18,624158867,6.24
2019-01-19,754614452,7.55
2019-01-20,1099003213,10.99
2019-01-21,730724684,7.31
2019-01-22,1160910545,11.61
2019-01-23,901105130,9.01
2019-01-24,700970415,7.01
2019-01-25,955722082,9.56
2019-01-26,660037436,6.60
2019-01-27,1470991649,14.71
2019-01-28,1160378784,11.60
2019-01-29,931328731,9.31
2019-01-30,784636623,7.85
2019-01-31,812648443,8.13
2019-02-01,815178010,8.15
2019-02-02,792318701,7.92
2019-02-03,640604280,6.41
2019-02-04,577801393,5.78
2019-02-05,733626271,7.34
2019-02-06,565769631,5.66
2019-02-07,399742271,4.00
2019-02-08,1806050088,18.06
2019-02-09,685700608,6.86
2019-02-10,840361093,8.40
2019-02-11,690445697,6.90
2019-02-12,871754785,8.72
2019-02-13,588680668,5.89
2019-02-14,538640042,5.39
2019-02-15,798157015,7.98
2019-02-16,501589690,5.02
2019-02-17,1866776741,18.67
2019-02-18,2612050941,26.12
2019-02-19,1715687689,17.16
2019-02-20,1463931902,14.64
2019-02-21,937313901,9.37
2019-02-22,980269428,9.80
2019-02-23,2039677088,20.40
2019-02-24,2250055964,22.50
2019-02-25,1216807265,12.17
2019-02-26,759192528,7.59
2019-02-27,1135697881,11.36
2019-02-28,1084579179,10.85
2019-03-01,624377163,6.24
2019-03-02,474808478,4.75
2019-03-03,954113028,9.54
2019-03-04,866229028,8.66
2019-03-05,1567752521,15.68
2019-03-06,1013320175,10.13
2019-03-07,970204527,9.70
2019-03-08,1241349775,12.41
2019-03-09,1084877095,10.85
2019-03-10,639251052,6.39
2019-03-11,1033574817,10.34
2019-03-12,713596327,7.14
2019-03-13,651640070,6.52
2019-03-14,828263545,8.28
2019-03-15,1521071285,15.21
2019-03-16,753967651,7.54
2019-03-17,949964332,9.50
2019-03-18,637217464,6.37
2019-03-19,952576767,9.53
2019-03-20,1036547130,10.37
2019-03-21,1310755595,13.11
2019-03-22,675626411,6.76
2019-03-23,518803500,5.19
2019-03-24,440250562,4.40
2019-03-25,1150117406,11.50
2019-03-26,942732831,9.43
2019-03-27,1086307375,10.86
2019-03-28,783188072,7.83
2019-03-29,1727775381,17.28
2019-03-30,550672499,5.51
2019-03-31,837212330,8.37
2019-04-01,2822552501,28.23
2019-04-02,4343362456,43.43
2019-04-03,4494385876,44.94
2019-04-04,2800959534,28.01
2019-04-05,1716775946,17.17
2019-04-06,2508321731,25.08
2019-04-07,2609670060,26.10
2019-04-08,2371873347,23.72
2019-04-09,1785413688,17.85
2019-04-10,2554472186,25.54
2019-04-11,2395705161,23.96
2019-04-12,1194599148,11.95
2019-04-13,907389431,9.07
2019-04-14,1013477968,10.13
2019-04-15,1494967129,14.95
2019-04-16,1674444830,16.74
2019-04-17,1286354233,12.86
2019-04-18,1278870144,12.79
2019-04-19,1307567286,13.08
2019-04-20,958211321,9.58
2019-04-21,1309442640,13.09
2019-04-22,2516688773,25.17
2019-04-23,2177241162,21.77
2019-04-24,2246495144,22.46
2019-04-25,3482715204,34.83
2019-04-26,1670963667,16.71
2019-04-27,840502879,8.41
2019-04-28,1108592508,11.09
2019-04-29,1245434384,12.45
2019-04-30,1599780222,16.00
2019-05-01,1079286596,10.79
2019-05-02,2443798793,24.44
2019-05-03,4056898301,40.57
2019-05-04,3070596437,30.71
2019-05-05,2446373521,24.46
2019-05-06,2873763705,28.74
2019-05-07,2911430810,29.11
2019-05-08,2635282204,26.35
2019-05-09,2947869660,29.48
2019-05-10,5746336381,57.46
2019-05-11,7174871578,71.75
2019-05-12,7073578740,70.74
2019-05-13,8011962631,80.12
2019-05-14,6121457758,61.21
2019-05-15,5666367875,56.66
2019-05-16,5498073864,54.98
2019-05-17,4097325599,40.97
2019-05-18,3638732320,36.39
2019-05-19,4675070283,46.75
2019-05-20,4361980277,43.62
2019-05-21,3101168903,31.01
2019-05-22,3645677293,36.46
2019-05-23,3135980890,31.36
2019-05-24,2883471527,28.83
2019-05-25,1768825583,17.69
2019-05-26,4470662139,44.71
2019-05-27,3050564028,30.51
2019-05-28,3236399565,32.36
2019-05-29,2764523880,27.65
2019-05-30,4772348718,47.72
2019-05-31,2653154578,26.53
2019-06-01,1404174300,14.04
2019-06-02,2867912919,28.68
2019-06-03,4704029679,47.04
2019-06-04,3974263254,39.74
2019-06-05,2955053871,29.55
2019-06-06,3174058633,31.74
2019-06-07,2582445828,25.82
2019-06-08,1660667052,16.61
2019-06-09,2913955463,29.14
2019-06-10,2529147987,25.29
2019-06-11,2639147081,26.39
2019-06-12,2463613180,24.64
2019-06-13,2301320266,23.01
2019-06-14,3388441448,33.88
2019-06-15,3933392950,39.33
2019-06-16,4989453734,49.89
2019-06-17,4539899575,45.40
2019-06-18,3681423430,36.81
2019-06-19,2267007959,22.67
2019-06-20,4288517995,42.89
2019-06-21,6593093134,65.93
2019-06-22,6685488213,66.85
2019-06-23,4989317719,49.89
2019-06-24,4526622114,45.27
2019-06-25,8567939759,85.68
2019-06-26,12637756895,126.38
2019-06-27,10877152270,108.77
2019-06-28,7822407616,78.22
2019-06-29,4882704544,48.83
2019-06-30,6366042556,63.66