Date,Volatility
2019-01-01,6.44
2019-01-02,6.31
2019-01-03,5.22
2019-01-04,6.11
2019-01-05,4.85
2019-01-06,7.40
2019-01-07,5.33
2019-01-08,6.27
2019-01-09,4.49
2019-01-10,9.23
2019-01-11,5.83
2019-01-12,3.67
2019-01-13,4.41
2019-01-14,5.98
2019-01-15,4.71
2019-01-16,5.09
2019-01-17,4.78
2019-01-18,3.19
2019-01-19,4.02
2019-01-20,4.89
2019-01-21,3.86
2019-01-22,5.33
2019-01-23,4.10
2019-01-24,3.28
2019-01-25,3.44
2019-01-26,3.74
2019-01-27,3.27
2019-01-28,4.96
2019-01-29,3.88
2019-01-30,3.48
2019-01-31,3.76
2019-02-01,3.42
2019-02-02,2.97
2019-02-03,2.93
2019-02-04,2.26
2019-02-05,1.60
2019-02-06,3.16
2019-02-07,1.48
2019-02-08,8.18
2019-02-09,2.99
2019-02-10,3.17
2019-02-11,3.21
2019-02-12,3.96
2019-02-13,2.64
2019-02-14,2.55
2019-02-15,2.72
2019-02-16,2.21
2019-02-17,3.92
2019-02-18,9.64
2019-02-19,8.34
2019-02-20,5.63
2019-02-21,4.78
2019-02-22,3.65
2019-02-23,6.11
2019-02-24,11.09
2019-02-25,5.42
2019-02-26,4.09
2019-02-27,5.01
2019-02-28,5.08
2019-03-01,2.51
2019-03-02,2.74
2019-03-03,2.21
2019-03-04,4.65
2019-03-05,4.84
2019-03-06,4.15
2019-03-07,4.07
2019-03-08,4.63
2019-03-09,4.64
2019-03-10,3.18
2019-03-11,3.92
2019-03-12,3.71
2019-03-13,2.90
2019-03-14,3.07
2019-03-15,2.79
2019-03-16,4.76
2019-03-17,3.21
2019-03-18,3.38
2019-03-19,3.09
2019-03-20,3.27
2019-03-21,4.26
2019-03-22,2.03
2019-03-23,2.13
2019-03-24,1.90
2019-03-25,3.29
2019-03-26,2.33
2019-03-27,3.93
2019-03-28,2.46
2019-03-29,4.06
2019-03-30,3.53
2019-03-31,2.13
2019-04-01,3.51
2019-04-02,24.49
2019-04-03,22.58
2019-04-04,15.83
2019-04-05,10.51
2019-04-06,11.29
2019-04-07,11.39
2019-04-08,13.56
2019-04-09,9.60
2019-04-10,11.77
2019-04-11,13.29
2019-04-12,8.82
2019-04-13,6.04
2019-04-14,5.96
2019-04-15,7.98
2019-04-16,8.37
2019-04-17,7.53
2019-04-18,6.73
2019-04-19,7.35
2019-04-20,5.95
2019-04-21,7.10
2019-04-22,8.50
2019-04-23,10.01
2019-04-24,11.34
2019-04-25,11.37
2019-04-26,11.68
2019-04-27,5.36
2019-04-28,6.26
2019-04-29,6.35
2019-04-30,6.14
2019-05-01,5.88
2019-05-02,5.51
2019-05-03,15.19
2019-05-04,15.64
2019-05-05,11.51
2019-05-06,11.18
2019-05-07,15.20
2019-05-08,10.85
2019-05-09,10.89
2019-05-10,15.51
2019-05-11,30.68
2019-05-12,49.54
2019-05-13,38.00
2019-05-14,45.61
2019-05-15,31.49
2019-05-16,36.25
2019-05-17,44.41
2019-05-18,19.66
2019-05-19,33.31
2019-05-20,37.98
2019-05-21,21.12
2019-05-22,23.36
2019-05-23,20.19
2019-05-24,16.77
2019-05-25,13.29
2019-05-26,22.25
2019-05-27,23.20
2019-05-28,17.07
2019-05-29,17.86
2019-05-30,31.26
2019-05-31,20.80
2019-06-01,13.19
2019-06-02,14.90
2019-06-03,27.09
2019-06-04,32.46
2019-06-05,25.78
2019-06-06,19.13
2019-06-07,18.69
2019-06-08,15.59
2019-06-09,17.53
2019-06-10,20.79
2019-06-11,14.83
2019-06-12,19.35
2019-06-13,13.23
2019-06-14,15.96
2019-06-15,14.97
2019-06-16,36.45
2019-06-17,27.12
2019-06-18,24.27
2019-06-19,15.55
2019-06-20,16.24
2019-06-21,25.39
2019-06-22,59.54
2019-06-23,35.71
2019-06-24,28.32
2019-06-25,32.47
2019-06-26,117.70
2019-06-27,119.97
2019-06-28,75.57
2019-06-29,67.79
2019-06-30,60.21